id;name;category_id
1;Релейная защита среднего напряжения;1
2;Релейная защита и автоматика трансформаторов, реакторов и автотрансформаторов;1
3;Релейная защита и автоматика линий 110-750кВ;1
4;Релейная защита и автоматика генераторов, двигателей;1
5;Релейная защита и автоматика в "малой энергетике";1
6;ДЗШ, ДЗО, УРОВ;1
7;Цифровые устройства релейной защиты и автоматики;1
8;Статические/Электроные реле;1
9;Програмное обеспечение МП устройств релейной защиты;1
10;Анализ осциллограмм аварийных регистраторов;1
11;Системы и устройства противоаварийной автоматики;1
12;Защиты от однофазных замыканий на землю;1
13;Определение места повреждения (ОМП);1
14;Автоматическое включение резерва (АВР);1
15;Аварии, дефекты оборудования;1
16;Автоматика Управления Выключателем (АУВ);1
17;Ж/Д, тяговые подстанции, транспорт;1
18;ВЧ обработка, каналы, тракты;2
19;Эксплуатация аппаратуры передачи аварийных сигналов;2
20;Режимная автоматика;3
21;Программное обеспечение;3
22;Аппаратура для выполнения проверок;4
23;Операции с устройствами РЗА;4
24;Делай как я;4
25;Схемы распределительных устройств;5
26;Собственные нужды;5
27;Трансформаторы тока (ТТ), напряжения (ТН) и их вторичные цепи;5
28;Оперативный ток и цепи управления;5
29;Вспомогательное оборудование;5
30;Испытания и измерения;6
31;Системы учета электроэнергии и измерительные приборы;6
32;МЭК 61850;7
33;АСУ ТП;7
34;АИИС КУЭ (АСКУЭ);7
35;Телемеханика (ТИ, ТС, ТУ);7
36;Расчёт сетей напряжением до 1000В;8
37;Выбор параметров настройки устройств релейной защиты и автоматики;8
38;Выбор первичного оборудования;8
39;Графика в релейной защите;8
40;Общие вопросы проектирования;8
41;Расчеты уставок, токов короткого замыкания;8

